Freq.	V(out)
9.54992586021433e+000	(-6.47385512146692e+001dB,1.68119088327574e+001°)
9.77237220955808e+000	(-6.43154224769569e+001dB,1.71665493160716e+001°)
9.99999999999997e+000	(-6.38913383862272e+001dB,1.75270701401578e+001°)
1.02329299228075e+001	(-6.34662652600632e+001dB,1.78934665818465e+001°)
1.04712854805090e+001	(-6.30401687111139e+001dB,1.82657266106218e+001°)
1.07151930523760e+001	(-6.26130136720981e+001dB,1.86438304807648e+001°)
1.09647819614318e+001	(-6.21847644270283e+001dB,1.90277503207299e+001°)
1.12201845430196e+001	(-6.17553846450457e+001dB,1.94174497192903e+001°)
1.14815362149688e+001	(-6.13248374191897e+001dB,1.98128833120738e+001°)
1.17489755493953e+001	(-6.08930853101263e+001dB,2.02139963693655e+001°)
1.20226443461741e+001	(-6.04600903938801e+001dB,2.06207243878677e+001°)
1.23026877081238e+001	(-6.00258143151064e+001dB,2.10329926884062e+001°)
1.25892541179416e+001	(-5.95902183449534e+001dB,2.14507160224601e+001°)
1.28824955169313e+001	(-5.91532634437946e+001dB,2.18737981895568e+001°)
1.31825673855640e+001	(-5.87149103297439e+001dB,2.23021316690014e+001°)
1.34896288259165e+001	(-5.82751195510990e+001dB,2.27355972682127e+001°)
1.38038426460288e+001	(-5.78338515650037e+001dB,2.31740637909310e+001°)
1.41253754462275e+001	(-5.73910668199949e+001dB,2.36173877283981e+001°)
1.44543977074592e+001	(-5.69467258443178e+001dB,2.40654129767240e+001°)
1.47910838816820e+001	(-5.65007893380537e+001dB,2.45179705832666e+001°)
1.51356124843620e+001	(-5.60532182704742e+001dB,2.49748785255965e+001°)
1.54881661891248e+001	(-5.56039739808265e+001dB,2.54359415258594e+001°)
1.58489319246111e+001	(-5.51530182836142e+001dB,2.59009509040761e+001°)
1.62181009735892e+001	(-5.47003135770901e+001dB,2.63696844729313e+001°)
1.65958690743755e+001	(-5.42458229547204e+001dB,2.68419064767654e+001°)
1.69824365246174e+001	(-5.37895103195314e+001dB,2.73173675781501e+001°)
1.73780082874937e+001	(-5.33313405000774e+001dB,2.77958048936271e+001°)
1.77827941003892e+001	(-5.28712793684124e+001dB,2.82769420810640e+001°)
1.81970085860998e+001	(-5.24092939586879e+001dB,2.87604894808677e+001°)
1.86208713666286e+001	(-5.19453525856971e+001dB,2.92461443115072e+001°)
1.90546071796324e+001	(-5.14794249635034e+001dB,2.97335909215863e+001°)
1.94984459975804e+001	(-5.10114823223962e+001dB,3.02225010981017e+001°)
1.99526231496887e+001	(-5.05414975241245e+001dB,3.07125344316770e+001°)
2.04173794466952e+001	(-5.00694451745051e+001dB,3.12033387382553e+001°)
2.08929613085403e+001	(-4.95953017318022e+001dB,3.16945505359990e+001°)
2.13796208950222e+001	(-4.91190456121769e+001dB,3.21857955770811e+001°)
2.18776162394954e+001	(-4.86406572891241e+001dB,3.26766894312106e+001°)
2.23872113856833e+001	(-4.81601193873633e+001dB,3.31668381193628e+001°)
2.29086765276776e+001	(-4.76774167702306e+001dB,3.36558387942652e+001°)
2.34422881531991e+001	(-4.71925366208058e+001dB,3.41432804649155e+001°)
2.39883291901948e+001	(-4.67054685139002e+001dB,3.46287447600752e+001°)
2.45470891568502e+001	(-4.62162044807454e+001dB,3.51118067270932e+001°)
2.51188643150957e+001	(-4.57247390651201e+001dB,3.55920356621452e+001°)
2.57039578276885e+001	(-4.52310693692156e+001dB,3.60689959643765e+001°)
2.63026799189537e+001	(-4.47351950909446e+001dB,3.65422480113003e+001°)
2.69153480392690e+001	(-4.42371185517362e+001dB,3.70113490484643e+001°)
2.75422870333815e+001	(-4.37368447129796e+001dB,3.74758540869154e+001°)
2.81838293126444e+001	(-4.32343811839495e+001dB,3.79353168043597e+001°)
